,Area,Channel,AreaName,Name,X,Y
1,1,1,East Stair,Wall Lights LC1/1,,
2,1,2,East Stair,Chandelier LC1/9,,
1,2,1,West Stair,Wall Lights LC1/2,,
2,2,2,West Stair,Chandelier LC1/10,,
1,4,1,Crush Hall,Chandelier LC1/5,,
2,4,2,Crush Hall,Statues LC1/6,,
3,4,3,Crush Hall,Corner Lights F21 LC1/7,,
1,5,1,BR & Fem WC Corridor,F12 & F13 LC1/8,,
1,6,1,Entrance Foyer,Reception Box Light Btm,,
2,6,2,Entrance Foyer,Reception Box Light Jamies,,
3,6,3,Entrance Foyer,Reception LED's,,
4,6,4,Entrance Foyer,Entrance Chandeliers,,
5,6,5,Entrance Foyer,Reception Box Light Top,,
1,7,1,Lift Lobby,Lift Lobby,,
1,8,1,Light Box Recess,LED Section LC2/6,,
1,9,1,Bar,LED,,
2,9,2,Bar,Row 1 Fluorescents,,
3,9,3,Bar,Bar Spot 1,,
4,9,4,Bar,Bar Spot 2,,
5,9,5,Bar,Row 3 Fluorescents,,
6,9,6,Bar,Row 2 Fluorescents,,
7,9,7,Bar,Bar Spot 3,,
8,9,8,Bar,Row 4 Fluorescents ,,
9,9,9,Bar,Bar Spot 4,,
1,10,1,Ball Room,Stage Chandelier,,
2,10,2,Ball Room,West Chandelier 1,,
3,10,3,Ball Room,West Chandelier 2,,
4,10,4,Ball Room,West Chandelier 3,,
5,10,5,Ball Room,Cent Chandelier 1,,
6,10,6,Ball Room,Cent Chandelier 2,,
7,10,7,Ball Room,Cent Chandelier 3,,
8,10,8,Ball Room,East Chandelier 1,,
9,10,9,Ball Room,East Chandelier 2,,
10,10,10,Ball Room,East Chandelier 3,,
11,10,11,Ball Room,West Chandelier 4,,
12,10,12,Ball Room,West Chandelier 5,,
13,10,13,Ball Room,Cent Chandelier 4,,
14,10,14,Ball Room,Cent Chandelier 5,,
15,10,15,Ball Room,East Chandelier 4,,
16,10,16,Ball Room,East Chandelier 5,,
1,12,1,Music Hall,Wall Lights West LC4,,
2,12,2,Music Hall,Wall Lights East LC4,,
3,12,3,Music Hall,Balcony Chand,,
4,12,4,Music Hall,Main Chandelier E & Bot,,
5,12,5,Music Hall,East West Chandelier,,
6,12,6,Music Hall,Stage Chand,,
7,12,7,Music Hall,Main Chandelier W & Arms,,
8,12,8,Music Hall,East West chandelier HQI,,
9,12,9,Music Hall,Balcony Wall Lights,,
10,12,10,Music Hall,Main Chandelier HQI,,
11,12,11,Music Hall,LEDs,,
1,13,1,West Drawing Room,LC5/1,,
1,14,1,East Drawing Room,LC5/2,,
2,14,2,East Drawing Room,LC5/3,,
1,16,1,Oval Room,Chandelier,,
1,20,1,External,West Lane LC2/2,,
2,20,2,External,External Front Entrance,,
3,20,3,External,LED's Portico LC2/9,,
4,20,4,External,East Lane,,
1,99,1,Spares,Spare,,
2,99,2,Spares,Row 1 Fluorescents,,
4,99,4,Spares,Main Chandelier,,
5,99,5,Spares,East West Chandelier,,
7,99,7,Spares,Row 3 Spots,,
9,99,9,Spares,Balcony Wall Lights,,
