Area	Channel	AreaName	Name	X	Y	Shape	Size
1	1	East Stair	Wall Lights LC1/1	"445,397,404,439"	"334,334,275,275"	c	1
1	2	East Stair	Chandelier LC1/9	421	300	c	2
2	1	West Stair	Wall Lights LC1/2	"397,445,439,404"	"115,115,174,174"	c	1
2	2	West Stair	Chandelier LC1/10	421	147	c	2
4	1	Crush Hall	Chandelier LC1/5	421	223	c	3
4	2	Crush Hall	Statues LC1/6				
4	3	Crush Hall	Corner Lights F21 LC1/7	"374,469,374,469"	"198,198,249,249"	c	2
5	1	BR & Fem WC Corridor	F12 & F13 LC1/8	"374,374,374,406,435,473,471,471,437,407"	"156,126,95,90,90,107,288,345,357,357"	c	2
6	1	Entrance Foyer	Reception Box Light Btm				
6	2	Entrance Foyer	Reception Box Light Jamies				
6	3	Entrance Foyer	Reception LED's				
6	4	Entrance Foyer	Entrance Chandeliers				
6	5	Entrance Foyer	Reception Box Light Top				
7	1	Lift Lobby	Lift Lobby				
8	1	Light Box Recess	LED Section LC2/6				
9	1	Bar	LED				
9	2	Bar	Row 1 Fluorescents	279	225	r	
9	3	Bar	Bar Spot 1				
9	4	Bar	Bar Spot 2				
9	5	Bar	Row 3 Fluorescents	331	225	r	
9	6	Bar	Row 2 Fluorescents	306	225	r	
9	7	Bar	Bar Spot 3				
9	8	Bar	Row 4 Fluorescents 	357	225	r	
9	9	Bar	Bar Spot 4				
10	1	Ball Room	Stage Chandelier	637	225	c	3
10	2	Ball Room	West Chandelier 1	563	146	c	2
10	3	Ball Room	West Chandelier 2	563	146	c	3
10	4	Ball Room	West Chandelier 3	563	146	c	4
10	5	Ball Room	Cent Chandelier 1	563	225	c	2
10	6	Ball Room	Cent Chandelier 2	563	225	c	3
10	7	Ball Room	Cent Chandelier 3	563	225	c	4
10	8	Ball Room	East Chandelier 1	563	303	c	2
10	9	Ball Room	East Chandelier 2	563	303	c	3
10	10	Ball Room	East Chandelier 3	563	303	c	4
10	11	Ball Room	West Chandelier 4	563	146	c	5
10	12	Ball Room	West Chandelier 5	563	146	c	6
10	13	Ball Room	Cent Chandelier 4	563	225	c	5
10	14	Ball Room	Cent Chandelier 5	563	225	c	6
10	15	Ball Room	East Chandelier 4	563	303	c	5
10	16	Ball Room	East Chandelier 5	563	303	c	6
12	1	Music Hall	Wall Lights West LC4	"163,213"	"84,84"	c	2
12	2	Music Hall	Wall Lights East LC4	"163,213"	"364,364"	c	2
12	3	Music Hall	Balcony Chand	"296,296,296"	"195,223,253"	c	4
12	4	Music Hall	Main Chandelier E & Bot	187	225	c	6
12	5	Music Hall	East West Chandelier	"159,216,159,216"	"115,115,334,334"	c	4
12	6	Music Hall	Stage Chand	"77,77"	"184,267"	c	4
12	7	Music Hall	Main Chandelier W & Arms				
12	8	Music Hall	East West chandelier HQI				
12	9	Music Hall	Balcony Wall Lights				
12	10	Music Hall	Main Chandelier HQI				
12	11	Music Hall	LEDs				
13	1	West Drawing Room	LC5/1	"537,599"	"38,38"	c	4
14	1	East Drawing Room	LC5/2	"537,599"	"408,408"	c	4
14	2	East Drawing Room	LC5/3	463	408	c	4
16	1	Oval Room	Chandelier				
20	1	External	West Lane LC2/2				
20	2	External	External Front Entrance				
20	3	External	LED's Portico LC2/9				
20	4	External	East Lane				
99	1	Spares	Spare				
99	2	Spares	Row 1 Fluorescents				
99	4	Spares	Main Chandelier				
99	5	Spares	East West Chandelier				
99	7	Spares	Row 3 Spots				
99	9	Spares	Balcony Wall Lights				
